Setembro de 2024,,,
DATA,HORARIO,ATIVIDADE,LOCAL
02.09.24,18h,17ª Reunião do GAO,Sede Pescarte Arraial do Cabo
02.09.24,18h,T01 - Oficina de Gestão em Análise de Risco dos Empreendimentos,Sede PEA Pescarte Carapebus
03.09.24,8h,Oficina -Gestão Financeira -  Turma 02,"Sede do PEA Rede Observação. Rua B q 53 lote 3, Chavão. Cabo Frio"
03.09.24,9h,Oficina de Aquicultura na UEPA - Módulo III - Campos dos Goytacazes T04,"Universidade Estadual do Norte Fluminense – UENF, Av. Alberto Lamego, 2000 - Parque California, Campos dos Goytacazes - RJ, 28013-602, Brasil"
03.09.24,15h,"Oficina em Gestão de empreendimentos solidários, gestão financeira e contábil dos empreendimentos SJB - T02","Escola Municipal Chrisanto Henrique De Souza, R. Manoel Francisco de Almeida, 43 - praia do Açu, São João da Barra - RJ, 28200, Brasil"
03.09.24,18h,Oficina de Gestão Financeira e Contábil – Búzios T03,Sede Pescarte Buzios
03.09.24,18h,T3-Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos ,SEDE MACAÉ
04.09.24,13h,Oficina de Gestão Financeira  - Turma 03,"Colégio Estadual Praia Do Siqueira, R. Luiz Feliciano Cardoso, s/n - Praia do Siqueira, Cabo Frio - RJ, 28912-090, Brasil"
04.09.24,16h,17ª Reunião do GAO de SFI,Sede PEA Pescarte São Francisco 
04.09.24,18h,Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 03,Sede PEA Pescarte - Rio das Ostras
04.09.24,18h,T1 - Oficina de Gestão em Análise de Risco dos Empreendimentos,SEDE CARAPEBUS
05.09.24,9h,Oficina de Gestão Financeira - Turma 4,"R. Sr. dos Passos, 243 - Chatuba, São João da Barra - RJ, 28200-000, Brasil ( sede SJB)"
05.09.24,14h,Turma II de Análise de Risco Quissamã. ,"Rua do Canal, R. do Canal - Barra do Furado, Quissamã - RJ, 28735-000, Brasil"
05.09.24,15h,17ª Reunião Ordinária do GAO,"Rua Marechal Deodoro, 55, sede do PEA Pescarte "
06.09.24,14h,Turma II de Análise de Risco Quissamã. ,"Rua do Canal, R. do Canal - Barra do Furado, Quissamã - RJ, 28735-000, Brasil"
06.09.24,18h,Oficina de Analise de Risco– Búzios T1/A1,SEDE BUZIOS
09.09.24,14h,"Oficina em Gestão de empreendimentos solidários, gestão financeira e contábil dos empreendimentos Turma III - SJB","R. Sr. dos Passos, 243 - Chatuba, São João da Barra - RJ, 28200-000, Brasil"
09.09.24,17h,Oficina de Gestão de Empreendimentos Solidários: Gestão Financeira - Turma III - Tócos,Ciep Francisco portela - Tocos
09.09.24,18h,6ª Oficina - Gestão financeira e contábil dos empreendimentos - T1A1,"Projeto Pescarte - Arraial do Cabo, Praça da Independência, 3B - Centro, Arraial do Cabo - RJ, 28930-000, Brasil"
09.09.24,18h,Oficina em gestão de empreendimentos solidários: Gestão financeira e contábil dos empreendimentos - Turma 02,Salão da Igreja Católica de Guaxindiba  
10.09.24,8h,Oficina de Gestão Financeira  - Turma 02,"Sede do PEA Rede Observação. Rua B q 53 lote 3, Chavão. Cabo Frio"
10.09.24,14h,Oficina em gestão de empreendimentos solidários: Gestão financeira e contábil dos empreendimentos - Turma 03,Bar da Lúcia - Lagoa Feia 
10.09.24,15h,Oficina de Gestão de Empreendimentos Solidários: Gestão Financeira - Turma IV - Lagoa de Cima,"Escola Municipal Ponta da Palha, Estrada Principal - Lagoa de Cima, Campos dos Goytacazes - RJ, Brasil"
10.09.24,15h,"Oficina em Gestão de empreendimentos solidários, gestão financeira e contábil dos empreendimentos Turma II - SJB","Escola Municipal Chrisanto Henrique De Souza, R. Manoel Francisco de Almeida, 43 - praia do Açu, São João da Barra - RJ, 28200, Brasil"
10.09.24,18h,5ª Oficina - Gestão Ambiental Pública dos Recursos Pesqueiros  - T1A4,"Escola Municipal Vera Felizardo, Estrada de Figueira S/N Figueira - Figueira, Arraial do Cabo - RJ, 28930-000, Brasil"
10.09.24,18h,Oficina de Gestão Financeira e Contábil – Búzios T3/A4,SEDE BUZIOS
10.09.24,18h,T1 - Oficina de Gestão em Análise de Risco dos Empreendimentos,"Projeto Pescarte, R. João Pedro Sobrinho, 130 - Centro, Carapebus - RJ, 27998-000, Brasil"
10.09.24,18h,T3-Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos ,SEDE MACAÉ
11.09.24,13h,Oficina de Gestão Financeira  - Turma 03,"Colégio Estadual Praia Do Siqueira, R. Luiz Feliciano Cardoso, s/n - Praia do Siqueira, Cabo Frio - RJ, 28912-090, Brasil"
11.09.24,17h,Oficina de Gestão de Empreendimentos Solidários: Gestão Financeira - Turma III ,ciepe FRANCISCO PORTELA - TOCOS
11.09.24,18h,Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 03,Sede PEA Pescarte - Rio das Ostras
11.09.24,18h,Oficina em gestão de empreendimentos solidários: Gestão financeira e contábil dos empreendimentos - Turma 02,Salão da Igreja Católica de Guaxindiba  
11.09.24,18h,T1 - Oficina de Gestão em Análise de Risco dos Empreendimentos,"Projeto Pescarte, R. João Pedro Sobrinho, 130 - Centro, Carapebus - RJ, 27998-000, Brasil"
12.09.24,9h,Oficina de Gestão Financeira - Turma 4,"R. Sr. dos Passos, 243 - Chatuba, São João da Barra - RJ, 28200-000, Brasil"
12.09.24,14h,Oficina em gestão de empreendimentos solidários: Gestão financeira e contábil dos empreendimentos - Turma 03,Bar da Lúcia - Lagoa Feia 
12.09.24,14h,Turma II de Análise de Risco Quissamã,"Rua do Canal, R. do Canal - Barra do Furado, Quissamã - RJ, 28735-000, Brasil"
12.09.24,15h,Oficina de Gestão de Empreendimentos Solidários: Gestão Financeira - Turma IV,"Escola Estadual Ponta da Palha, Estrada Principal - Lagoa de Cima, Campos dos Goytacazes - RJ, Brasil"
12.09.24,18h,T3-Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos ,SEDE MACAÉ 
13.09.24,9h,Oficina de Aquicultura  (Pendente),"Projeto Pescarte - Arraial do Cabo, Praça da Independência, 3B - Centro, Arraial do Cabo - RJ, 28930-000, Brasil"
13.09.24,9h,Oficina de Aquicultura - turma 2 - modulo 1,"R. Sr. dos Passos, 243 - Chatuba, São João da Barra - RJ, 28200-000, Brasil"
13.09.24,14h,Turma II de Análise de Risco Quissamã. ,"Rua do Canal, R. do Canal - Barra do Furado, Quissamã - RJ, 28735-000, Brasil"
13.09.24,18h,Oficina de Analise de Risco– Búzios T1/A2,SEDE BUZIOS
13.09.24,18h,Oficina de Análise de Riscos T2A1,"Projeto Pescarte - Arraial do Cabo, Praça da Independência, 3B - Centro, Arraial do Cabo - RJ, 28930-000, Brasil"
14.09.24,9h,Oficina de Análise de Risco - Turma 01,Sede PEA Pescarte - Rio das Ostras
14.09.24,9h,Oficina de Aquicultura  (Pendente),"Projeto Pescarte - Arraial do Cabo, Praça da Independência, 3B - Centro, Arraial do Cabo - RJ, 28930-000, Brasil"
14.09.24,9h,Oficina de Aquicultura - turma 2 - modulo 1,"R. Sr. dos Passos, 243 - Chatuba, São João da Barra - RJ, 28200-000, Brasil"
14.09.24,9h,Oficina de Gestão Financeira - Turma 04,"Sede PEA Pescarte Cabo Frio. Av Nilo Peçanha n 73, loja 11, Centro - Cabo Frio, RJ"
16.09.24,14h,Oficina de Gestão em Empreendimentos: Gestão Financeira e Contábil dos empreendimentos / TURMA 04,"Rua do Canal, R. do Canal - Barra do Furado, Quissamã - RJ, 28735-000, Brasil"
16.09.24,14h,"Oficina em Gestão de empreendimentos solidários, gestão financeira e contábil dos empreendimentos Turma III ","R. Sr. dos Passos, 243 - Chatuba, São João da Barra - RJ, 28200-000, Brasil"
16.09.24,14h,T2-Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos ,"Projeto Pescarte, R. João Pedro Sobrinho, 130 - Centro, Carapebus - RJ, 27998-000, Brasil"
16.09.24,15h,Oficina de Gestão de Empreendimentos Solidários: Gestão Financeira - Turma IV - Lagoa de Cima,"Escola Estadual Ponta da Palha, Estrada Principal - Lagoa de Cima, Campos dos Goytacazes - RJ, Brasil"
16.09.24,18h,6ª Oficina - Gestão financeira e contábil dos empreendimentos - T1A2,"Projeto Pescarte - Arraial do Cabo, Praça da Independência, 3B - Centro, Arraial do Cabo - RJ, 28930-000, Brasil"
16.09.24,18h,Oficina em gestão de empreendimentos solidários: Gestão financeira e contábil dos empreendimentos - Turma 02,Salão da Igreja Católica de Guaxindiba  
17.09.24,8h,Oficina de Gestão Financeira - Turma 02,"Sede do PEA Rede Observação. Rua B q 53 lote 3, Chavão. Cabo Frio"
17.09.24,14h,Oficina de Gestão em Empreendimentos: Gestão Financeira e Contábil dos empreendimentos / TURMA 04,RUA DO CANAL 126 BARRA DO FURADO
17.09.24,14h,Oficina em gestão de empreendimentos solidários: Gestão financeira e contábil dos empreendimentos - Turma 03,Bar da Lúcia - Lagoa Feia 
17.09.24,15h,"Oficina em Gestão de empreendimentos solidários, gestão financeira e contábil dos empreendimentos Turma II ","Escola Municipal Chrisanto Henrique De Souza, R. Manoel Francisco de Almeida, 43 - praia do Açu, São João da Barra - RJ, 28200, Brasil"
17.09.24,17h,Oficina de Gestão de Empreendimentos Solidários: Gestão Financeira - Turma III ,Ciepe francisco portela - TOCOS
17.09.24,18h,Oficina de Analise de Riscos– Búzios T1/A3,SEDE BUZIOS
17.09.24,18h,T3-Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos ,SEDE MACAÉ
18.09.24,13h,Oficina de Gestão Financeira  - Turma 03,"Colégio Estadual Praia Do Siqueira, R. Luiz Feliciano Cardoso, s/n - Praia do Siqueira, Cabo Frio - RJ, 28912-090, Brasil"
18.09.24,14h,T02-Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos ,"Projeto Pescarte, R. João Pedro Sobrinho, 130 - Centro, Carapebus - RJ, 27998-000, Brasil"
18.09.24,15h,Oficina de Gestão de Empreendimentos Solidários: Gestão Financeira - Turma 04 ,"Escola Estadual Ponta da Palha, Estrada Principal - Lagoa de Cima, Campos dos Goytacazes - RJ, Brasil"
18.09.24,18h,Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 03,Sede PEA Pescarte - Rio das Ostras
18.09.24,18h,Oficina em gestão de empreendimentos solidários: Gestão financeira e contábil dos empreendimentos - Turma 02,Salão da Igreja Católica de Guaxindiba  
19.09.24,14h,Oficina em gestão de empreendimentos solidários: Gestão financeira e contábil dos empreendimentos - Turma 03,Bar da Lúcia - Lagoa Feia 
19.09.24,17h,Oficina de Gestão de Empreendimentos Solidários: Gestão Financeira - Turma 03 ,ciepe francisco portela - tocos 
19.09.24,18h,17ª reuniao do GAO de SJB,"R. Sr. dos Passos, 243 - Chatuba, São João da Barra - RJ, 28200-000, Brasil"
19.09.24,18h,Oficina de Análise de Riscos T02A02,"Projeto Pescarte - Arraial do Cabo, Praça da Independência, 3B - Centro, Arraial do Cabo - RJ, 28930-000, Brasil"
19.09.24,18h,Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 03,Sede PEA Pescarte - Rio das Ostras
19.09.24,18h,T01-Oficina de Análise de Risco ,SEDE MACAÉ
20.09.24,18h,Oficina de Analise de Risco– Búzios T01/A04,SEDE BUZIOS
20.09.24,18h,Oficina de Análise de Riscos T02A03,"Projeto Pescarte - Arraial do Cabo, Praça da Independência, 3B - Centro, Arraial do Cabo - RJ, 28930-000, Brasil"
21.09.24,8h,T01-Oficina de Análise de Risco ,SEDE MACAÉ
21.09.24,9h,Oficina de Análise de Risco - Turma 01,Sede PEA Pescarte - Rio das Ostras
21.09.24,9h,Oficina de Gestão Financeira - Turma 04,"Sede PEA Pescarte Cabo Frio. Av Nilo Peçanha n 73, loja 11, Centro - Cabo Frio, RJ"
23.09.24,14h,Oficina de Gestão em Empreendimentos: Gestão Financeira e Contábil dos empreendimentos / TURMA 04,"Rua do Canal, R. do Canal - Barra do Furado, Quissamã - RJ, 28735-000, Brasil"
23.09.24,14h,"Oficina em Gestão de empreendimentos solidários, gestão financeira e contábil dos empreendimentos Turma 03 ","R. Sr. dos Passos, 243 - Chatuba, São João da Barra - RJ, 28200-000, Brasil"
23.09.24,14h,T02-Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos ,"Projeto Pescarte, R. João Pedro Sobrinho, 130 - Centro, Carapebus - RJ, 27998-000, Brasil"
23.09.24,15h,Assembleia De Constituição da Cooperativa de Aquicultura ,"R. Mal. Deodoro, 55 - Centro, Campos dos Goytacazes - RJ, 28010-280, Brasil - Sede PEA Pescarte"
23.09.24,18h,6ª Oficina - Gestão financeira e contábil dos empreendimentos - T01A03,"Projeto Pescarte - Arraial do Cabo, Praça da Independência, 3B - Centro, Arraial do Cabo - RJ, 28930-000, Brasil"
23.09.24,18h,Mobilizar e Organizar os Sujeitos da Ação Educativa Reunião Grupo de Trabalho / Cabo Frio,"Colônia De Pescadores Z-4 De Cabo Frio, R. Anibal Cruz - São Bento, Cabo Frio - RJ, 28906-260, Brasil"
23.09.24,18h,T01-Oficina de Análise de Riscos ,SEDE MACAÉ
24.09.24,9h,Turma04 - Oficina de Aquicultura na UEPA - Módulo III ,"Universidade Estadual do Norte Fluminense – UENF, Av. Alberto Lamego, 2000 - Parque California, Campos dos Goytacazes - RJ, 28013-602, Brasil"
24.09.24,14h,Oficina de Gestão em Empreendimentos: Gestão Financeira e Contábil dos empreendimentos / TURMA 04,"Rua do Canal, R. do Canal - Barra do Furado, Quissamã - RJ, 28735-000, Brasil"
24.09.24,15h,"Oficina em Gestão de empreendimentos solidários, gestão financeira e contábil dos empreendimentos Turma 02 ","Escola Municipal Chrisanto Henrique De Souza, R. Manoel Francisco de Almeida, 43 - praia do Açu, São João da Barra - RJ, 28200, Brasil"
de 25 a 27/09/2024,9h,Seminario Institucional,"Universidade Estadual do Norte Fluminense – UENF, Av. Alberto Lamego, 2000 - Parque California, Campos dos Goytacazes - RJ, 28013-602, Brasil"
30.09.24,9h,Turma 03 - Oficina de Aquicultura na UEPA - Módulo III ,"Universidade Estadual do Norte Fluminense – UENF, Av. Alberto Lamego, 2000 - Parque California, Campos dos Goytacazes - RJ, 28013-602, Brasil"
30.09.24,14h,17ª Reunião do Grupo de Acompanhamento de Obras ,SEDE PESCARTE QUISSAMÃ
30.09.24,14h,"Oficina em Gestão de empreendimentos solidários, gestão financeira e contábil dos empreendimentos Turma III - SJB","R. Sr. dos Passos, 243 - Chatuba, São João da Barra - RJ, 28200-000, Brasil"
30.09.24,14h,T2-Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos ,"Projeto Pescarte, R. João Pedro Sobrinho, 130 - Centro, Carapebus - RJ, 27998-000, Brasil"
30.09.24,18h,6ª Oficina - Gestão financeira e contábil dos empreendimentos - T01A04,"Projeto Pescarte - Arraial do Cabo, Praça da Independência, 3B - Centro, Arraial do Cabo - RJ, 28930-000, Brasil"
